id,status,latency
1,200,0.219436
2,200,0.011216
3,200,0.014526
4,200,0.012787
5,200,0.013078
6,200,0.012756
7,200,0.012426
8,200,0.011828
9,200,0.010021
10,200,0.010293
11,200,0.010026
12,200,0.012750
13,200,0.012258
14,200,0.010099
15,200,0.009644
16,200,0.009637
17,200,0.009621
18,200,0.009573
19,200,0.009382
20,200,0.009854
21,200,0.009652
22,200,0.009667
23,200,0.009143
24,200,0.009224
25,200,0.010259
26,200,0.009750
27,200,0.009837
28,200,0.009730
29,200,0.009175
30,200,0.009186
31,200,0.009912
32,200,0.009714
33,200,0.009608
34,200,0.009556
35,200,0.012846
36,200,0.012736
37,200,0.009777
38,200,0.010367
39,200,0.009655
40,200,0.010026
41,200,0.009889
42,200,0.009803
43,200,0.009562
44,200,0.009450
45,200,0.009614
46,200,0.010276
47,200,0.009853
48,200,0.009546
49,200,0.009603
50,200,0.010385
51,200,0.010008
52,200,0.010194
53,200,0.009480
54,200,0.009935
55,200,0.010357
56,200,0.009508
57,200,0.013763
58,200,0.018401
59,200,0.012058
60,200,0.011813
61,200,0.010924
62,200,0.009428
63,200,0.009602
64,200,0.009821
65,200,0.010315
66,200,0.009381
67,200,0.010015
68,200,0.009690
69,200,0.009438
70,200,0.010277
71,200,0.009714
72,200,0.009621
73,200,0.010038
74,200,0.009678
75,200,0.009905
76,200,0.009318
77,200,0.010467
78,200,0.009631
79,200,0.010378
80,200,0.011161
81,200,0.012301
82,200,0.012788
83,200,0.010749
84,200,0.011557
85,200,0.010873
86,200,0.011102
87,200,0.012632
88,200,0.009969
89,200,0.009549
90,200,0.009798
91,200,0.009698
92,200,0.009819
93,200,0.009931
94,200,0.009273
95,200,0.010250
96,200,0.014788
97,200,0.009550
98,200,0.012105
99,200,0.012706
100,200,0.012103
101,200,0.010423
102,200,0.012244
103,200,0.013048
104,200,0.012016
105,200,0.009642
106,200,0.008873
107,200,0.009515
108,200,0.008519
109,200,0.008583
110,200,0.008482
111,200,0.008307
112,200,0.008284
113,200,0.008697
114,200,0.008765
115,200,0.008910
116,200,0.008452
117,200,0.009375
118,200,0.008527
119,200,0.009423
120,200,0.010095
121,200,0.009568
122,200,0.008753
123,200,0.008685
124,200,0.008514
125,200,0.009290
126,200,0.008981
127,200,0.020898
128,200,0.009684
129,200,0.013648
130,200,0.008689
131,200,0.008550
132,200,0.008563
133,200,0.009644
134,200,0.009200
135,200,0.009401
136,200,0.008203
137,200,0.008273
138,200,0.008809
139,200,0.009640
140,200,0.008827
141,200,0.008411
142,200,0.008116
143,200,0.008562
144,200,0.008118
145,200,0.008882
146,200,0.008545
147,200,0.009049
148,200,0.008305
149,200,0.008172
150,200,0.008335
151,200,0.008127
152,200,0.008515
153,200,0.009360
154,200,0.008566
155,200,0.008751
156,200,0.008939
157,200,0.009216
158,200,0.008829
159,200,0.008710
160,200,0.008886
161,200,0.008815
162,200,0.008766
163,200,0.008935
164,200,0.008202
165,200,0.009763
166,200,0.008225
167,200,0.008460
168,200,0.008899
169,200,0.009253
170,200,0.009086
171,200,0.008034
172,200,0.008003
173,200,0.008771
174,200,0.008198
175,200,0.007827
176,200,0.007972
177,200,0.007984
178,200,0.008301
179,200,0.008787
180,200,0.008597
181,200,0.007838
182,200,0.008387
183,200,0.008130
184,200,0.008622
185,200,0.009267
186,200,0.008607
187,200,0.008445
