status,latency
200,0.059013
200,0.008340
200,0.009830
200,0.009713
200,0.009915
200,0.014493
200,0.008298
200,0.008905
200,0.009840
200,0.008174
200,0.009677
200,0.008171
200,0.009126
200,0.009432
200,0.009148
200,0.008221
200,0.008809
200,0.008618
200,0.008717
200,0.009973
200,0.008102
200,0.008114
200,0.008159
200,0.008130
200,0.008555
200,0.015867
200,0.008652
200,0.008656
200,0.014443
200,0.008435
200,0.009951
200,0.008633
200,0.008815
200,0.007989
200,0.009962
200,0.008106
200,0.009461
200,0.007950
200,0.009321
200,0.010149
200,0.011767
200,0.009420
200,0.010476
200,0.008057
200,0.009359
200,0.008380
200,0.008689
200,0.008674
200,0.009387
200,0.009455
200,0.008709
200,0.008083
200,0.008638
200,0.008223
200,0.008138
200,0.008062
200,0.009328
200,0.008394
200,0.009155
200,0.008275
200,0.009463
200,0.008087
200,0.008928
200,0.008411
200,0.008286
200,0.008292
200,0.008754
200,0.008511
200,0.007982
200,0.008251
200,0.009476
200,0.008086
200,0.009256
200,0.009966
200,0.008269
200,0.008291
200,0.008564
200,0.008273
200,0.008167
200,0.008019
200,0.009325
200,0.008307
200,0.008504
200,0.008650
200,0.007928
200,0.008878
200,0.008115
200,0.009416
200,0.009224
200,0.009943
200,0.008374
200,0.008357
200,0.008260
200,0.008037
200,0.008868
200,0.008372
200,0.008150
200,0.009289
200,0.008095
200,0.008858
200,0.007955
200,0.009014
200,0.008127
200,0.010312
200,0.008155
200,0.008156
200,0.008103
200,0.008116
200,0.008089
200,0.008109
200,0.008637
200,0.007897
200,0.008280
200,0.009368
200,0.007957
200,0.008840
200,0.009935
200,0.589883
200,0.007059
200,0.007558
200,0.006634
200,0.007195
200,0.007056
200,0.006701
200,0.006979
200,0.006988
200,0.006719
200,0.007478
200,0.007579
200,0.010530
200,0.009924
200,0.006662
200,0.006625
200,0.006674
200,0.007608
200,0.007655
200,0.007110
200,0.006802
200,0.006855
200,0.007239
200,0.006742
200,0.020098
200,0.006904
200,0.019126
200,0.013758
200,0.007254
200,0.008324
200,0.006954
200,0.006927
200,0.006800
200,0.006649
200,0.007576
200,0.006703
200,0.006926
200,0.007325
200,0.006798
200,0.007769
200,0.007625
200,0.008147
200,0.007147
200,0.007306
200,0.006737
200,0.006817
200,0.007028
200,0.006806
200,0.006871
200,0.006659
200,0.008208
200,0.006689
200,0.006679
200,0.006596
200,0.006698
200,0.006717
200,0.006592
200,0.006568
200,0.006842
200,0.007388
200,0.006806
200,0.006872
200,0.006569
200,0.006965
200,0.007626
200,0.006711
200,0.007415
200,0.006659
200,0.006754
200,0.006772
200,0.006769
200,0.011244
200,0.006855
200,0.007436
200,0.007100
200,0.006964
200,0.006825
200,0.007237
200,0.007240
200,0.006932
200,0.006946
200,0.006891
200,0.007406
200,0.007102
200,0.006774
200,0.007482
200,0.006677
200,0.007023
200,0.006743
