id,status,latency
1,200,0.118470
2,200,0.012534
3,200,0.009702
4,200,0.009791
5,200,0.009387
6,200,0.008494
7,200,0.008627
8,200,0.008992
9,200,0.009026
10,200,0.007762
11,200,0.008256
12,200,0.010793
13,200,0.009009
14,200,0.016957
15,200,0.008586
16,200,0.008580
17,200,0.008563
18,200,0.009429
19,200,0.008407
20,200,0.008397
21,200,0.008522
22,200,0.008325
23,200,0.008453
24,200,0.008423
25,200,0.008386
26,200,0.008488
27,200,0.008477
28,200,0.008542
29,200,0.008749
30,200,0.008561
31,200,0.008583
32,200,0.008576
33,200,0.008418
34,200,0.010218
35,200,0.008475
36,200,0.008838
37,200,0.007599
38,200,0.007611
39,200,0.007449
40,200,0.007743
41,200,0.008029
42,200,0.007209
43,200,0.006990
44,200,0.006992
45,200,0.007059
46,200,0.007041
47,200,0.007442
48,200,0.007382
49,200,0.007201
50,200,0.008075
51,200,0.011459
52,200,0.007553
53,200,0.007276
54,200,0.007253
55,200,0.007278
56,200,0.007131
57,200,0.007173
58,200,0.007292
59,200,0.007438
60,200,0.007310
61,200,0.008094
62,200,0.008443
63,200,0.008827
64,200,0.008868
65,200,0.008764
66,200,0.009140
67,200,0.008419
68,200,0.008656
69,200,0.008431
70,200,0.008495
71,200,0.008313
72,200,0.008264
73,200,0.008704
74,200,0.008255
75,200,0.008665
76,200,0.008344
77,200,0.008736
78,200,0.008311
79,200,0.008510
80,200,0.008616
81,200,0.008664
82,200,0.008911
83,200,0.009398
84,200,0.008470
85,200,0.008756
86,200,0.008529
87,200,0.008528
88,200,0.008238
89,200,0.008229
90,200,0.008229
91,200,0.008401
92,200,0.008275
93,200,0.008699
94,200,0.008315
95,200,0.008448
96,200,0.008712
97,200,0.008543
98,200,0.008378
99,200,0.009186
100,200,0.008399
101,200,0.008249
102,200,0.008450
103,200,0.008304
104,200,0.008406
105,200,0.008057
106,200,0.008183
107,200,0.008458
108,200,0.008439
109,200,0.008733
110,200,0.008256
111,200,0.008588
112,200,0.008619
113,200,0.008462
114,200,0.008554
115,200,0.008915
116,200,0.016954
117,200,0.007792
118,200,0.007614
119,200,0.008817
120,200,0.008759
121,200,0.008490
122,200,0.008651
123,200,0.008545
124,200,0.008635
125,200,0.007678
126,200,0.007736
127,200,0.007920
128,200,0.008176
129,200,0.007718
130,200,0.008062
131,200,0.007854
132,200,0.008551
133,200,0.007570
134,200,0.007814
135,200,0.007900
136,200,0.007837
137,200,0.007626
138,200,0.008152
139,200,0.007556
140,200,0.007657
141,200,0.007702
142,200,0.007589
143,200,0.007658
144,200,0.007543
145,200,0.007629
146,200,0.007735
147,200,0.007554
148,200,0.008120
149,200,0.007681
150,200,0.007760
151,200,0.007615
152,200,0.007717
153,200,0.007637
154,200,0.007533
155,200,0.007554
156,200,0.007546
157,200,0.007564
158,200,0.007564
159,200,0.007919
160,200,0.007947
161,200,0.007867
162,200,0.008898
163,200,0.007117
164,200,0.008044
165,200,0.007027
166,200,0.008676
167,200,0.008073
168,200,0.006890
169,200,0.006550
170,200,0.006372
171,200,0.006646
172,200,0.006671
173,200,0.006590
174,200,0.006471
175,200,0.006624
176,200,0.006787
177,200,0.006976
178,200,0.006914
179,200,0.006907
180,200,0.007050
181,200,0.006993
182,200,0.007181
183,200,0.007346
184,200,0.006938
185,200,0.007059
186,200,0.006769
187,200,0.006989
188,200,0.007462
189,200,0.007693
190,200,0.007439
191,200,0.007774
192,200,0.008102
193,200,0.008048
194,200,0.007687
195,200,0.007709
196,200,0.008161
197,200,0.007877
198,200,0.007654
199,200,0.007604
200,200,0.007894
201,200,0.007567
202,200,0.007435
203,200,0.007839
204,200,0.007574
205,200,0.007838
206,200,0.007897
207,200,0.007936
208,200,0.007859
209,200,0.008025
210,200,0.007803
211,200,0.008008
212,200,0.007698
213,200,0.008715
214,200,0.007774
215,200,0.007817
216,200,0.008218
217,200,0.007891
218,200,0.007945
219,200,0.007816
220,200,0.007481
221,200,0.007592
222,200,0.007265
223,200,0.007838
224,200,0.008004
225,200,0.007723
226,200,0.007882
227,200,0.007897
228,200,0.008401
229,200,0.007676
230,200,0.007724
231,200,0.008155
232,200,0.008025
233,200,0.007804
234,200,0.007663
235,200,0.008088
236,200,0.007777
237,200,0.007648
238,200,0.007832
239,200,0.008586
240,200,0.011597
241,200,0.007863
242,200,0.007549
243,200,0.007535
244,200,0.007410
245,200,0.007557
246,200,0.007523
247,200,0.007323
248,200,0.008406
249,200,0.007921
250,200,0.007716
251,200,0.007821
252,200,0.007952
253,200,0.007772
254,200,0.008013
255,200,0.008200
256,200,0.008197
257,200,0.008009
258,200,0.007666
259,200,0.007508
260,200,0.007562
261,200,0.018095
262,200,0.007742
263,200,0.007797
264,200,0.007708
265,200,0.007660
266,200,0.020109
267,200,0.007532
268,200,0.015653
269,200,0.007652
270,200,0.007630
271,200,0.008036
272,200,0.007513
273,200,0.007562
274,200,0.007538
275,200,0.007591
276,200,0.007537
277,200,0.007503
278,200,0.007628
279,200,0.007489
280,200,0.007384
281,200,0.007597
282,200,0.007616
283,200,0.007626
284,200,0.007468
285,200,0.007669
286,200,0.007565
287,200,0.007950
288,200,0.007778
289,200,0.007623
290,200,0.007748
291,200,0.007532
292,200,0.008225
293,200,0.007291
294,200,0.006786
295,200,0.007032
296,200,0.007088
297,200,0.007267
298,200,0.007017
299,200,0.006725
300,200,0.006465
301,200,0.006602
302,200,0.006462
303,200,0.006694
304,200,0.007517
305,200,0.006879
306,200,0.006732
307,200,0.007855
308,200,0.006796
309,200,0.007201
310,200,0.006877
311,200,0.006751
312,200,0.007028
313,200,0.006807
314,200,0.006948
315,200,0.006844
316,200,0.006909
317,200,0.006858
318,200,0.006540
319,200,0.007341
320,200,0.007863
321,200,0.007731
322,200,0.008005
323,200,0.007918
324,200,0.007731
325,200,0.007684
326,200,0.007822
327,200,0.007853
328,200,0.007766
329,200,0.007807
330,200,0.007689
331,200,0.007832
332,200,0.007823
333,200,0.007764
334,200,0.008016
335,200,0.007601
336,200,0.008366
337,200,0.007858
338,200,0.007990
339,200,0.007920
340,200,0.007490
341,200,0.008109
342,200,0.007854
343,200,0.007872
344,200,0.007604
345,200,0.007476
346,200,0.007474
347,200,0.007454
348,200,0.007515
349,200,0.007826
350,200,0.007758
351,200,0.008025
352,200,0.008116
353,200,0.008051
354,200,0.007618
355,200,0.007700
356,200,0.007644
357,200,0.007638
358,200,0.007580
359,200,0.007387
360,200,0.007665
361,200,0.007468
362,200,0.007788
363,200,0.012792
364,200,0.007594
365,200,0.008232
366,200,0.007539
367,200,0.007756
368,200,0.007581
369,200,0.008561
370,200,0.007573
371,200,0.007641
372,200,0.007567
373,200,0.007522
374,200,0.007717
375,200,0.007774
376,200,0.008501
377,200,0.007810
378,200,0.007535
379,200,0.007679
380,200,0.007777
381,200,0.007794
382,200,0.007978
383,200,0.007880
384,200,0.008144
385,200,0.007543
386,200,0.007206
387,200,0.007344
388,200,0.007394
389,200,0.007748
390,200,0.007818
391,200,0.007983
392,200,0.007944
393,200,0.007847
394,200,0.007425
395,200,0.007798
396,200,0.007947
397,200,0.007649
398,200,0.007523
399,200,0.007680
400,200,0.007701
401,200,0.008006
402,200,0.007590
403,200,0.008930
404,200,0.007601
405,200,0.027778
406,200,0.007554
407,200,0.007580
408,200,0.007499
409,200,0.008008
410,200,0.007497
411,200,0.007542
412,200,0.007552
413,200,0.007623
414,200,0.007558
415,200,0.007517
416,200,0.008756
417,200,0.007799
418,200,0.007811
419,200,0.007815
420,200,0.007716
421,200,0.007672
422,200,0.007563
423,200,0.007496
424,200,0.007406
425,200,0.007973
426,200,0.007622
427,200,0.008028
428,200,0.007912
429,200,0.008208
430,200,0.008347
431,200,0.007784
432,200,0.006945
433,200,0.010054
434,200,0.007548
435,200,0.006714
436,200,0.006828
437,200,0.006678
438,200,0.006672
439,200,0.006749
440,200,0.006765
441,200,0.006428
442,200,0.006560
443,200,0.006390
444,200,0.006709
445,200,0.010372
446,200,0.007059
447,200,0.006880
448,200,0.007040
449,200,0.006867
450,200,0.007359
451,200,0.007024
452,200,0.006854
453,200,0.006804
454,200,0.007078
455,200,0.007670
456,200,0.007665
457,200,0.007803
458,200,0.007857
459,200,0.007844
460,200,0.007572
461,200,0.007824
462,200,0.007919
463,200,0.007626
464,200,0.007640
465,200,0.007737
466,200,0.008517
467,200,0.007918
468,200,0.007699
469,200,0.007574
470,200,0.007504
471,200,0.007578
472,200,0.007494
473,200,0.007602
474,200,0.007484
475,200,0.007572
476,200,0.007763
477,200,0.007495
478,200,0.007725
479,200,0.007537
480,200,0.007430
481,200,0.007428
482,200,0.008050
483,200,0.007883
484,200,0.007776
485,200,0.007487
486,200,0.013389
487,200,0.008044
488,200,0.007836
489,200,0.007579
490,200,0.007425
491,200,0.007623
492,200,0.007476
493,200,0.007870
494,200,0.007908
495,200,0.007469
496,200,0.007847
497,200,0.007567
498,200,0.008423
499,200,0.007454
500,200,0.007938
501,200,0.007597
502,200,0.007665
503,200,0.007678
504,200,0.007549
505,200,0.007794
506,200,0.007647
507,200,0.007400
508,200,0.007817
509,200,0.007786
510,200,0.008451
511,200,0.007834
512,200,0.013376
513,200,0.007541
514,200,0.007344
515,200,0.006861
516,200,0.007616
517,200,0.007685
518,200,0.007733
519,200,0.007373
520,200,0.007866
521,200,0.007892
522,200,0.008319
523,200,0.007971
524,200,0.007932
525,200,0.007845
526,200,0.008989
527,200,0.007906
528,200,0.007733
529,200,0.007641
530,200,0.007781
531,200,0.007725
532,200,0.007855
533,200,0.007670
534,200,0.015174
535,200,0.024717
536,200,0.007809
537,200,0.007434
538,200,0.007561
539,200,0.006922
540,200,0.007334
541,200,0.007999
542,200,0.007471
543,200,0.007511
544,200,0.007594
545,200,0.007527
546,200,0.007430
547,200,0.007603
548,200,0.007673
549,200,0.007653
550,200,0.007727
551,200,0.007591
552,200,0.007587
553,200,0.007600
554,200,0.007435
555,200,0.007705
556,200,0.007770
557,200,0.008211
558,200,0.008025
559,200,0.007711
560,200,0.007943
561,200,0.007769
562,200,0.007193
563,200,0.007018
564,200,0.007097
565,200,0.006849
566,200,0.007331
567,200,0.009301
568,200,0.006481
569,200,0.006267
570,200,0.006307
571,200,0.006431
572,200,0.006591
573,200,0.006739
574,200,0.006788
575,200,0.007713
576,200,0.006561
577,200,0.006517
578,200,0.007684
579,200,0.006558
580,200,0.007104
581,200,0.007072
582,200,0.007258
583,200,0.007021
584,200,0.007340
585,200,0.007125
586,200,0.007323
587,200,0.007338
588,200,0.006524
589,200,0.006636
590,200,0.007487
591,200,0.007443
592,200,0.007720
593,200,0.007727
594,200,0.007730
595,200,0.007956
596,200,0.007690
597,200,0.007852
598,200,0.007825
599,200,0.007513
600,200,0.007562
601,200,0.007602
602,200,0.007565
603,200,0.007822
604,200,0.008069
605,200,0.007496
606,200,0.007493
607,200,0.007546
608,200,0.007992
609,200,0.013396
610,200,0.007771
611,200,0.008095
612,200,0.007509
613,200,0.007850
614,200,0.007720
615,200,0.007485
616,200,0.007472
617,200,0.007861
618,200,0.007645
619,200,0.007565
620,200,0.007488
621,200,0.008266
622,200,0.007367
623,200,0.007492
624,200,0.007421
625,200,0.008097
626,200,0.007692
627,200,0.007439
628,200,0.007848
629,200,0.007773
630,200,0.007616
631,200,0.007587
632,200,0.007835
633,200,0.007892
634,200,0.007717
635,200,0.007668
636,200,0.007806
637,200,0.008361
638,200,0.007432
639,200,0.007847
640,200,0.007716
641,200,0.007782
642,200,0.007633
643,200,0.007423
644,200,0.007494
645,200,0.007723
646,200,0.007742
647,200,0.007747
648,200,0.007765
649,200,0.008029
650,200,0.007599
651,200,0.007640
652,200,0.007728
653,200,0.008805
654,200,0.007715
655,200,0.007597
656,200,0.007504
657,200,0.007549
658,200,0.007538
659,200,0.007598
660,200,0.007458
661,200,0.007898
662,200,0.007889
663,200,0.007601
664,200,0.007560
665,200,0.007497
666,200,0.015636
667,200,0.024977
668,200,0.007569
669,200,0.007434
670,200,0.008089
671,200,0.007218
672,200,0.007581
673,200,0.007544
674,200,0.007517
675,200,0.007591
676,200,0.007527
677,200,0.010262
678,200,0.007699
679,200,0.007700
680,200,0.007726
681,200,0.007771
682,200,0.007726
683,200,0.007636
684,200,0.007518
685,200,0.007531
686,200,0.008349
687,200,0.007304
688,200,0.007553
689,200,0.007636
690,200,0.007630
691,200,0.007689
692,200,0.007889
693,200,0.007461
694,200,0.007960
695,200,0.007611
696,200,0.007655
697,200,0.007494
698,200,0.007758
699,200,0.007133
700,200,0.006967
701,200,0.007545
702,200,0.007590
703,200,0.007362
704,200,0.007038
705,200,0.006710
706,200,0.006734
707,200,0.006673
708,200,0.006665
709,200,0.006708
710,200,0.006695
711,200,0.006555
712,200,0.006589
713,200,0.006769
714,200,0.007039
715,200,0.007080
716,200,0.008257
717,200,0.006927
718,200,0.006715
719,200,0.006952
720,200,0.006841
721,200,0.007090
722,200,0.006961
723,200,0.007636
724,200,0.007600
725,200,0.008050
726,200,0.007521
727,200,0.007723
728,200,0.007942
729,200,0.007685
730,200,0.007598
731,200,0.007538
732,200,0.014320
733,200,0.007744
734,200,0.007974
735,200,0.007700
736,200,0.007344
737,200,0.007835
738,200,0.007536
739,200,0.009642
740,200,0.007526
741,200,0.007620
742,200,0.007753
743,200,0.007701
744,200,0.007856
745,200,0.007710
746,200,0.007766
747,200,0.007740
748,200,0.007870
749,200,0.007577
750,200,0.007660
751,200,0.007530
752,200,0.007862
753,200,0.007621
754,200,0.007458
755,200,0.007507
756,200,0.007518
757,200,0.007756
758,200,0.007528
759,200,0.007832
760,200,0.007492
761,200,0.007427
762,200,0.007741
763,200,0.007468
764,200,0.007489
765,200,0.008064
766,200,0.007706
767,200,0.007699
768,200,0.008448
769,200,0.007847
770,200,0.007977
771,200,0.007743
772,200,0.007820
773,200,0.007602
774,200,0.007489
775,200,0.007795
776,200,0.007775
777,200,0.007522
778,200,0.007606
779,200,0.007930
780,200,0.007703
781,200,0.008301
782,200,0.007613
783,200,0.007975
784,200,0.007874
785,200,0.008057
786,200,0.007379
787,200,0.007756
788,200,0.007685
789,200,0.007568
790,200,0.007734
791,200,0.008348
792,200,0.007777
793,200,0.007758
794,200,0.007644
795,200,0.007591
796,200,0.013934
797,200,0.007486
798,200,0.015862
799,200,0.007534
800,200,0.007552
801,200,0.007510
802,200,0.007586
803,200,0.007189
804,200,0.007415
805,200,0.007446
806,200,0.007303
807,200,0.007832
808,200,0.006604
809,200,0.020077
810,200,0.007449
811,200,0.007700
812,200,0.007545
813,200,0.007661
814,200,0.007578
815,200,0.007430
816,200,0.007452
817,200,0.007436
818,200,0.007706
819,200,0.007846
820,200,0.007900
821,200,0.007541
822,200,0.007440
823,200,0.008006
824,200,0.007587
825,200,0.007810
826,200,0.007694
827,200,0.007631
828,200,0.007403
829,200,0.008023
830,200,0.007985
831,200,0.006711
832,200,0.006698
833,200,0.007022
834,200,0.007248
835,200,0.007568
836,200,0.006838
837,200,0.006599
838,200,0.006642
839,200,0.006559
840,200,0.010050
841,200,0.006649
842,200,0.006684
843,200,0.006626
844,200,0.006548
845,200,0.006685
846,200,0.007025
847,200,0.006848
848,200,0.006938
849,200,0.006835
850,200,0.006831
851,200,0.007297
852,200,0.006950
853,200,0.007098
854,200,0.006778
855,200,0.011881
856,200,0.008468
857,200,0.007086
858,200,0.007412
859,200,0.007036
860,200,0.007553
861,200,0.007810
862,200,0.007520
863,200,0.007915
864,200,0.007742
865,200,0.007544
866,200,0.007403
867,200,0.007561
868,200,0.007537
869,200,0.007515
870,200,0.007636
871,200,0.007730
872,200,0.007495
873,200,0.008464
874,200,0.007590
875,200,0.007755
876,200,0.007777
877,200,0.007515
878,200,0.007698
879,200,0.007510
880,200,0.007603
881,200,0.007895
882,200,0.010461
883,200,0.008024
884,200,0.007660
885,200,0.007772
886,200,0.007679
887,200,0.007522
888,200,0.007940
889,200,0.008614
890,200,0.007360
891,200,0.007491
892,200,0.007301
893,200,0.007548
894,200,0.007788
895,200,0.007588
896,200,0.007623
897,200,0.007735
898,200,0.007605
899,200,0.006899
900,200,0.007319
901,200,0.007663
902,200,0.007506
903,200,0.007682
904,200,0.007955
905,200,0.008120
906,200,0.007517
907,200,0.007508
908,200,0.007818
909,200,0.007720
910,200,0.007658
911,200,0.007571
912,200,0.007545
913,200,0.007422
914,200,0.007495
915,200,0.007436
916,200,0.007639
917,200,0.007804
918,200,0.007856
919,200,0.007809
920,200,0.007667
921,200,0.008186
922,200,0.007935
923,200,0.007740
924,200,0.007892
925,200,0.007651
926,200,0.007589
927,200,0.007880
928,200,0.007433
929,200,0.007514
930,200,0.008337
931,200,0.007719
932,200,0.023695
933,200,0.007736
934,200,0.007429
935,200,0.007977
936,200,0.007470
937,200,0.007530
938,200,0.008245
939,200,0.007581
940,200,0.007433
941,200,0.007414
942,200,0.007537
943,200,0.007516
944,200,0.007533
945,200,0.007457
946,200,0.007683
947,200,0.007725
948,200,0.007539
949,200,0.007521
950,200,0.007482
951,200,0.007407
952,200,0.007768
953,200,0.007731
954,200,0.007593
955,200,0.007657
956,200,0.007661
957,200,0.007599
958,200,0.007555
959,200,0.007786
960,200,0.007680
961,200,0.007793
962,200,0.007620
963,200,0.007750
964,200,0.007701
965,200,0.007578
966,200,0.007466
967,200,0.007601
968,200,0.007764
969,200,0.007682
970,200,0.006945
971,200,0.006996
972,200,0.007131
973,200,0.006763
974,200,0.007098
975,200,0.006904
976,200,0.006654
977,200,0.006468
978,200,0.010304
979,200,0.006834
980,200,0.006689
981,200,0.006812
982,200,0.014733
983,200,0.007550
984,200,0.006926
985,200,0.007113
986,200,0.006832
987,200,0.006887
988,200,0.006826
989,200,0.007199
990,200,0.007115
991,200,0.006995
992,200,0.007166
993,200,0.007756
994,200,0.007802
995,200,0.007464
996,200,0.007795
997,200,0.007584
998,200,0.007558
999,200,0.007562
1000,200,0.007525
1001,200,0.007301
1002,200,0.007986
1003,200,0.007584
1004,200,0.007769
1005,200,0.007657
1006,200,0.007430
1007,200,0.007612
1008,200,0.007755
1009,200,0.007896
1010,200,0.007635
1011,200,0.007948
1012,200,0.007790
1013,200,0.008551
1014,200,0.007276
1015,200,0.007767
1016,200,0.007787
1017,200,0.007826
1018,200,0.008355
1019,200,0.007852
