id,body,status,latency
1,0,200,0.073490
2,1,200,0.010095
3,2,200,0.008690
4,3,200,0.008447
5,4,200,0.008358
6,5,200,0.008684
7,6,200,0.008518
8,7,200,0.008516
9,8,200,0.008517
10,9,200,0.008158
11,10,200,0.008142
12,11,200,0.008131
13,12,200,0.007897
14,13,200,0.007874
15,14,200,0.008012
16,15,200,0.007883
17,16,200,0.008655
18,17,200,0.008319
19,18,200,0.008527
20,19,200,0.008203
21,20,200,0.008275
22,21,200,0.008116
23,22,200,0.008365
24,23,200,0.008275
25,24,200,0.008013
26,25,200,0.008209
27,26,200,0.007992
28,27,200,0.008235
29,28,200,0.007975
30,29,200,0.007959
31,30,200,0.008243
32,31,200,0.007986
33,32,200,0.008684
34,33,200,0.008033
35,34,200,0.008245
36,35,200,0.008990
37,36,200,0.014613
38,37,200,0.007930
39,38,200,0.008200
40,39,200,0.007932
41,40,200,0.008107
42,41,200,0.008001
43,42,200,0.007934
44,43,200,0.007994
45,44,200,0.007671
46,45,200,0.008016
47,46,200,0.008078
48,47,200,0.008011
49,48,200,0.008376
50,49,200,0.008001
51,50,200,0.008163
52,51,200,0.008339
53,52,200,0.008245
54,53,200,0.008124
55,54,200,0.008251
56,55,200,0.008060
57,56,200,0.008330
58,57,200,0.008011
59,58,200,0.008330
60,59,200,0.008250
61,60,200,0.008014
62,61,200,0.008367
63,62,200,0.008527
64,63,200,0.008258
65,64,200,0.008283
66,65,200,0.008149
67,66,200,0.007913
68,67,200,0.008109
69,68,200,0.007954
70,69,200,0.008254
71,70,200,0.008091
72,71,200,0.008059
73,72,200,0.008139
74,73,200,0.007703
75,74,200,0.008359
76,75,200,0.008285
77,76,200,0.008271
78,77,200,0.007895
79,78,200,0.008559
80,79,200,0.008111
81,80,200,0.008141
82,81,200,0.008461
83,82,200,0.007869
84,83,200,0.008319
85,84,200,0.007885
86,85,200,0.007959
87,86,200,0.008313
88,87,200,0.008004
89,88,200,0.008240
90,89,200,0.007587
91,90,200,0.007794
92,91,200,0.008026
93,92,200,0.007412
94,93,200,0.008153
95,94,200,0.007479
96,95,200,0.008134
97,96,200,0.007717
98,97,200,0.008350
99,98,200,0.007751
100,99,200,0.007883
101,100,200,0.008114
102,101,200,0.008064
103,102,200,0.008257
104,103,200,0.007845
105,104,200,0.008408
106,105,200,0.008044
107,106,200,0.008154
108,107,200,0.008096
109,108,200,0.008977
110,109,200,0.008214
111,110,200,0.008023
112,111,200,0.008529
113,112,200,0.008444
114,113,200,0.008379
115,114,200,0.008383
116,115,200,0.008044
117,116,200,0.008168
118,117,200,0.008370
119,118,200,0.008040
120,119,200,0.008430
121,120,200,0.008562
122,121,200,0.007800
123,122,200,0.009197
124,123,200,0.008226
125,124,200,0.008145
126,125,200,0.008326
127,126,200,0.007912
128,127,200,0.008569
129,128,200,0.008163
130,0,200,0.076597
131,129,200,0.007871
132,130,200,0.008336
133,131,200,0.008179
134,132,200,0.007734
135,133,200,0.008082
136,134,200,0.008517
137,135,200,0.008017
138,136,200,0.008109
139,137,200,0.008934
140,138,200,0.007858
141,139,200,0.008062
142,140,200,0.007749
143,141,200,0.008221
144,142,200,0.007624
145,143,200,0.007902
146,144,200,0.007782
147,145,200,0.007730
148,146,200,0.007798
149,147,200,0.008151
150,148,200,0.007591
151,149,200,0.007508
152,150,200,0.007533
153,151,200,0.007540
154,152,200,0.008294
155,153,200,0.007673
156,154,200,0.007334
157,155,200,0.007659
158,156,200,0.007660
159,157,200,0.007762
160,158,200,0.007518
161,159,200,0.008001
162,160,200,0.007633
163,161,200,0.012010
164,162,200,0.007696
165,163,200,0.007683
166,164,200,0.008075
167,165,200,0.007675
168,166,200,0.007686
169,167,200,0.008332
170,168,200,0.007744
171,169,200,0.007589
172,170,200,0.007721
173,171,200,0.007488
174,172,200,0.007644
175,173,200,0.007550
176,174,200,0.007608
177,175,200,0.010659
178,176,200,0.007745
179,177,200,0.007868
180,178,200,0.007696
181,179,200,0.007716
182,180,200,0.007823
183,181,200,0.007628
184,182,200,0.007517
185,183,200,0.008570
186,184,200,0.007599
187,185,200,0.007842
188,186,200,0.008080
189,187,200,0.007737
190,188,200,0.007578
191,189,200,0.007703
192,190,200,0.008039
193,191,200,0.007835
194,192,200,0.008058
195,193,200,0.007681
196,194,200,0.007420
197,195,200,0.007611
