id,status,latency
1,200,0.101014
2,200,0.010682
3,200,0.008402
4,200,0.008412
5,200,0.008522
6,200,0.008242
7,200,0.008166
8,200,0.008513
9,200,0.008141
10,200,0.007913
11,200,0.008274
12,200,0.008900
13,200,0.008155
14,200,0.008208
15,200,0.007865
16,200,0.008218
17,200,0.008307
18,200,0.008136
19,200,0.008085
20,200,0.007731
21,200,0.007658
22,200,0.007704
23,200,0.008099
24,200,0.008170
25,200,0.007870
26,200,0.008319
27,200,0.008347
28,200,0.007949
29,200,0.008647
30,200,0.008196
31,200,0.007644
32,200,0.007833
33,200,0.007557
34,200,0.007757
35,200,0.008052
36,200,0.008054
37,200,0.007569
38,200,0.007513
39,200,0.007616
40,200,0.007510
41,200,0.007219
42,200,0.007484
43,200,0.007467
44,200,0.008275
45,200,0.008029
46,200,0.007727
47,200,0.008008
48,200,0.007849
49,200,0.008107
50,200,0.007808
51,200,0.007669
52,200,0.007951
53,200,0.008134
54,200,0.008319
55,200,0.008411
56,200,0.007986
57,200,0.008155
58,200,0.007939
59,200,0.008076
60,200,0.007812
61,200,0.008552
62,200,0.008263
63,200,0.007989
64,200,0.008181
65,200,0.007948
66,200,0.008040
67,200,0.008059
68,200,0.007962
69,200,0.008045
70,200,0.007981
71,200,0.008041
72,200,0.007926
73,200,0.009725
74,200,0.007880
75,200,0.008275
76,200,0.008475
77,200,0.008209
78,200,0.008028
79,200,0.007647
80,200,0.027782
81,200,0.015620
82,200,0.007791
83,200,0.007901
84,200,0.007853
85,200,0.007903
86,200,0.008050
87,200,0.007822
88,200,0.008192
89,200,0.008105
90,200,0.007906
91,200,0.007972
92,200,0.008202
93,200,0.009100
94,200,0.007984
95,200,0.008003
96,200,0.009330
97,200,0.007923
98,200,0.007903
99,200,0.007986
100,200,0.007765
101,200,0.007653
102,200,0.007774
103,200,0.008310
104,200,0.008056
105,200,0.007875
106,200,0.007995
107,200,0.007939
108,200,0.008065
109,200,0.008489
110,200,0.008055
111,200,0.008190
112,200,0.008034
113,200,0.007798
114,200,0.008182
115,200,0.008272
116,200,0.012750
117,200,0.007862
118,200,0.007830
119,200,0.008070
120,200,0.007945
121,200,0.007973
122,200,0.008004
123,200,0.008059
124,200,0.007751
125,200,0.007375
126,200,0.007683
127,200,0.007606
128,200,0.008372
129,200,0.008088
130,200,0.007747
131,200,0.007717
132,200,0.007516
133,200,0.007734
134,200,0.008023
135,200,0.007394
136,200,0.007663
137,200,0.007504
138,200,0.007761
139,200,0.007845
140,200,0.007482
141,200,0.008227
142,200,0.008019
143,200,0.007732
144,200,0.007916
145,200,0.007681
146,200,0.007710
147,200,0.007481
148,200,0.007801
149,200,0.007860
150,200,0.007979
151,200,0.007897
152,200,0.007898
153,200,0.007334
154,200,0.007361
155,200,0.008152
156,200,0.007762
157,200,0.007163
158,200,0.007467
159,200,0.007529
160,200,0.007649
161,200,0.007419
162,200,0.007582
163,200,0.007386
164,200,0.007382
165,200,0.007113
166,200,0.007237
167,200,0.007268
168,200,0.007142
169,200,0.006897
170,200,0.007308
171,200,0.007104
172,200,0.007182
173,200,0.007527
174,200,0.007686
175,200,0.007163
176,200,0.007279
177,200,0.007084
178,200,0.007078
179,200,0.007657
180,200,0.007068
181,200,0.007335
182,200,0.007877
183,200,0.007662
184,200,0.007343
185,200,0.007566
186,200,0.007577
187,200,0.007588
188,200,0.007669
189,200,0.008141
190,200,0.007526
191,200,0.007469
192,200,0.007937
193,200,0.007415
194,200,0.007732
195,200,0.007666
196,200,0.007468
197,200,0.007314
198,200,0.007607
199,200,0.007486
200,200,0.007780
201,200,0.007656
202,200,0.007588
203,200,0.007731
204,200,0.007765
205,200,0.007693
206,200,0.007966
207,200,0.007461
208,200,0.007752
209,200,0.007485
210,200,0.007817
211,200,0.007474
212,200,0.007707
213,200,0.007518
214,200,0.007918
215,200,0.007514
216,200,0.008984
217,200,0.007406
218,200,0.007584
219,200,0.007373
220,200,0.007317
221,200,0.007504
222,200,0.007384
223,200,0.007481
224,200,0.007433
225,200,0.007467
226,200,0.007455
227,200,0.007426
228,200,0.007434
229,200,0.016338
230,200,0.008032
231,200,0.007856
232,200,0.007617
233,200,0.007544
234,200,0.007760
235,200,0.007653
236,200,0.007461
237,200,0.007487
238,200,0.007897
239,200,0.007975
240,200,0.011134
241,200,0.007762
242,200,0.007549
243,200,0.007654
244,200,0.007377
245,200,0.007696
246,200,0.007983
247,200,0.008023
248,200,0.007774
249,200,0.007819
250,200,0.007855
251,200,0.007566
252,200,0.007946
253,200,0.008063
254,200,0.007968
255,200,0.007318
256,200,0.007694
257,200,0.007640
258,200,0.007407
259,200,0.007621
260,200,0.007499
261,200,0.007854
262,200,0.007633
263,200,0.007991
264,200,0.007703
265,200,0.007812
266,200,0.008181
267,200,0.007353
268,200,0.007691
269,200,0.021904
270,200,0.007776
271,200,0.007685
272,200,0.007611
273,200,0.007565
274,200,0.007396
275,200,0.007326
276,200,0.007843
277,200,0.007868
278,200,0.007662
279,200,0.007605
280,200,0.007679
281,200,0.007593
282,200,0.007568
283,200,0.007844
284,200,0.007691
285,200,0.007848
286,200,0.007791
287,200,0.007427
288,200,0.007812
289,200,0.007592
290,200,0.007158
291,200,0.007451
292,200,0.007401
293,200,0.007729
294,200,0.008099
295,200,0.007396
296,200,0.007633
297,200,0.007394
298,200,0.007012
299,200,0.007205
300,200,0.006963
301,200,0.007080
302,200,0.007002
303,200,0.007582
304,200,0.007419
305,200,0.007490
306,200,0.007458
307,200,0.007103
308,200,0.007305
309,200,0.007354
310,200,0.007798
311,200,0.007185
312,200,0.007584
313,200,0.007662
314,200,0.007429
315,200,0.008004
316,200,0.007424
317,200,0.008004
318,200,0.007574
319,200,0.007622
320,200,0.007583
321,200,0.007356
322,200,0.007358
323,200,0.007535
